.123	application/vnd.lotus-1-2-3
.3dm	x-world/x-3dmf
.3dmf	x-world/x-3dmf
.3dml	text/vnd.in3d.3dml
#.3g2	audio/3gpp2
#.3g2	audio/mp4
.3g2	video/3gpp2
.3ga	audio/mp4
#.3gp	audio/mp4
.3gp	video/3gpp
.3gp2	audio/mp4
.3gpa	audio/mp4
.3gpp	audio/mp4
.3gpp2	audio/mp4
.7z	application/x-7z-compressed
.a	application/octet-stream
.aab	application/x-authorware-bin
.aac	audio/aac
.aacp	audio/aacp
.aam	application/x-authorware-map
.aas	application/x-authorware-seg
.abc	text/vnd.abc
.abw	application/x-abiword
.abw.gz	application/x-abiword
.acc	application/vnd.americandynamics.acc
.ace	application/x-ace-compressed
.acgi	text/html
.acu	application/vnd.acucobol
.acutc	application/vnd.acucorp
.adp	audio/adpcm
.aep	application/vnd.audiograph
.aff	audio/aiff
.afl	video/animaflex
.afm	application/x-font-type1
.afp	application/vnd.ibm.modcap
.ai	application/postscript
.aif	audio/aiff
#.aif	audio/x-aiff
.aifc	audio/aiff
#.aifc	audio/x-aiff
.aiff	audio/aiff
#.aiff	audio/aiff
#.aiff	audio/x-aiff
.aim	application/x-aim
.aip	text/x-audiosoft-intra
.air	application/vnd.adobe.air-application-installer-package+zip
.ami	application/vnd.amiga.ami
.ani	application/x-navi-animation
.aos	application/x-nokia-9000-communicator-add-on-software
.apk	application/vnd.android.package-archive
.application	application/x-ms-application
.apr	application/vnd.lotus-approach
.aps	application/mime
.arc	application/octet-stream
.arj	application/arj
#.arj	application/octet-stream
.art	image/x-jg
.arw	image/x-sony-arw
.asc	application/pgp-signature
.asf	video/x-ms-asf
.asm	text/x-asm
.aso	application/vnd.accpac.simply.aso
.asp	text/asp
.asx	application/x-mplayer2
#.asx	video/x-ms-asf
#.asx	video/x-ms-asf-plugin
.atc	application/vnd.acucorp
.atom	application/atom+xml
.atomcat	application/atomcat+xml
.atomsvc	application/atomsvc+xml
.atx	application/vnd.antix.game-component
.au	audio/basic
#.au	audio/x-au
.avi	video/avi
#.avi	application/x-troff-msvideo
#.avi	video/msvideo
#.avi	video/x-msvideo
.avif	image/avif
.avifs	image/avif-sequence
.avs	video/avs-video
.aw	application/applixware
.azf	application/vnd.airzip.filesecure.azf
.azs	application/vnd.airzip.filesecure.azs
.azw	application/vnd.amazon.ebook
.bat	application/x-msdownload
.bcpio	application/x-bcpio
.bdf	application/x-font-bdf
.bdm	application/vnd.syncml.dm+wbxml
.bh2	application/vnd.fujitsu.oasysprs
.bin	application/mac-binary
#.bin	application/macbinary
#.bin	application/octet-stream
#.bin	application/x-binary
#.bin	application/x-macbinary
.bm	image/bmp
.bmi	application/vnd.bmi
.bmp	image/bmp
#.bmp	image/x-windows-bmp
.boo	application/book
.book	application/book
#.book	application/vnd.framemaker
.box	application/vnd.previewsystems.box
.boz	application/x-bzip2
.bpk	application/octet-stream
.bsh	application/x-beanshell
#.bsh	application/x-bsh
.btif	image/prs.btif
.bz	application/x-bzip
.bz2	application/x-bzip2
.c	text/plain
#.c	text/x-c
.c++	text/plain
.c4d	application/vnd.clonk.c4group
.c4f	application/vnd.clonk.c4group
.c4g	application/vnd.clonk.c4group
.c4p	application/vnd.clonk.c4group
.c4u	application/vnd.clonk.c4group
.cab	application/vnd.ms-cab-compressed
.car	application/vnd.curl.car
.cat	application/vnd.ms-pki.seccat
.cc	text/plain
#.cc	text/x-c
.ccad	application/clariscad
.cco	application/x-cocoa
.cct	application/x-director
.ccxml	application/ccxml+xml
.cdbcmsg	application/vnd.contact.cmsg
.cdf	application/cdf
#.cdf	application/x-cdf
#.cdf	application/x-netcdf
.cdkey	application/vnd.mediastation.cdkey
.cdr	application/x-iso9660-image
.cdx	chemical/x-cdx
.cdxml	application/vnd.chemdraw+xml
.cdy	application/vnd.cinderella
.cer	application/pkix-cert
#.cer	application/x-x509-ca-cert
.cgm	image/cgm
.cha	application/x-chat
.chat	application/x-chat
.chm	application/vnd.ms-htmlhelp
.chrt	application/vnd.kde.kchart
.cif	chemical/x-cif
.cii	application/vnd.anser-web-certificate-issue-initiation
.cil	application/vnd.ms-artgalry
.cla	application/vnd.claymore
.class	application/java
#.class	application/java-byte-code
#.class	application/java-vm
#.class	application/x-java-class
.clj	text/x-clojure
.clkk	application/vnd.crick.clicker.keyboard
.clkp	application/vnd.crick.clicker.palette
.clkt	application/vnd.crick.clicker.template
.clkw	application/vnd.crick.clicker.wordbank
.clkx	application/vnd.crick.clicker
.clp	application/x-msclip
.cmc	application/vnd.cosmocaller
.cmdf	chemical/x-cmdf
.cml	chemical/x-cml
.cmp	application/vnd.yellowriver-custom-menu
.cmx	image/x-cmx
.cod	application/vnd.rim.cod
.com	text/plain
#.com	application/octet-stream
#.com	application/x-msdownload
.conf	text/plain
.cpio	application/x-cpio
.cpp	text/x-c
.cpt	application/mac-compactpro
#.cpt	application/x-compactpro
#.cpt	application/x-cpt
.cr2	image/x-canon-cr2
.crd	application/x-mscardfile
.crl	application/pkcs-crl
#.crl	application/pkix-crl
.crt	application/pkix-cert
#.crt	application/x-x509-ca-cert
#.crt	application/x-x509-user-cert
.crw	image/x-canon-crw
.csh	application/x-csh
#.csh	text/x-script.csh
.csml	chemical/x-csml
.csp	application/vnd.commonspace
.css	text/css
#.css	application/x-pointplus
.cst	application/x-director
.csv	text/csv
.cu	application/cu-seeme
.curl	text/vnd.curl
.cww	application/prs.cww
.cxt	application/x-director
.cxx	text/plain
#.cxx	text/x-c
.daf	application/vnd.mobius.daf
.dataless	application/vnd.fdsn.seed
.davmount	application/davmount+xml
.db	application/vnd.sqlite3
.db-shm	application/vnd.sqlite3
.db-wal	application/vnd.sqlite3
#.dcr	application/x-director
.dcr	image/x-kodak-dcr
.dcurl	text/vnd.curl.dcurl
.dd2	application/vnd.oma.dd2+xml
.ddd	application/vnd.fujixerox.ddd
.deb	application/vnd.debian.binary-package
#.deb	application/x-debian-package
.deepv	application/x-deepv
.def	text/plain
.deploy	application/octet-stream
.der	application/x-x509-ca-cert
.dfac	application/vnd.dreamfactory
.dic	text/x-c
.dif	video/x-dv
.diff	text/plain
.dir	application/x-director
.dis	application/vnd.mobius.dis
.dist	application/octet-stream
.distz	application/octet-stream
.djv	image/vnd.djvu
.djvu	image/vnd.djvu
.dl	video/dl
#.dl	video/x-dl
.dll	application/x-msdownload
.dmg	application/octet-stream
.dms	application/octet-stream
.dna	application/vnd.dna
.dng	image/x-adobe-dng
.doc	application/msword
.docm	application/vnd.ms-word.document.macroenabled.12
.docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document
.dot	application/msword
.dotm	application/vnd.ms-word.template.macroenabled.12
.dotx	application/vnd.openxmlformats-officedocument.wordprocessingml.template
.dp	application/commonground
#.dp	application/vnd.osgi.dp
.dpg	application/vnd.dpgraph
.drw	application/drafting
.dsc	text/prs.lines.tag
.dtb	application/x-dtbook+xml
.dtd	application/xml-dtd
.dts	audio/vnd.dts
.dtshd	audio/vnd.dts.hd
.dump	application/octet-stream
.dv	video/x-dv
.dvi	application/x-dvi
.dwf	model/vnd.dwf
#.dwf	drawing/x-dwf
#.dwg	application/acad
.dwg	image/vnd.dwg
#.dwg	image/x-dwg
#.dxf	application/dxf
.dxf	image/vnd.dwg
#.dxf	image/vnd.dxf
#.dxf	image/x-dwg
.dxp	application/vnd.spotfire.dxp
.dxr	application/x-director
.ecelp4800	audio/vnd.nuera.ecelp4800
.ecelp7470	audio/vnd.nuera.ecelp7470
.ecelp9600	audio/vnd.nuera.ecelp9600
